team,score,walksissued,stolenbases,strikeoutsthrown,totalbases,date,opponent,opponent_score,home
STL,1,5,0,5,5,2016-04-03,PIT,4,0
TOR,5,1,0,7,11,2016-04-03,TB,3,0
NYM,3,2,0,3,8,2016-04-04,KC,4,0
SF,12,5,1,10,30,2016-04-04,MIL,3,0
MIN,2,5,0,10,10,2016-04-04,BAL,3,0
SEA,2,6,0,10,10,2016-04-04,TEX,3,0
WSH,4,5,1,11,15,2016-04-04,ATL,3,0
PHI,2,3,0,7,10,2016-04-04,CIN,6,0
LAD,15,2,0,10,26,2016-04-04,SD,0,0
TOR,5,4,0,9,17,2016-04-04,TB,3,0
COL,10,3,1,13,31,2016-04-05,ARI,5,0
CHC,9,1,0,7,17,2016-04-05,LAA,0,0
CHW,4,3,0,10,10,2016-04-05,OAK,3,0
HOU,5,4,3,8,11,2016-04-05,NYY,3,0
BOS,6,3,0,15,18,2016-04-05,CLE,2,0
NYM,2,1,2,12,9,2016-04-05,KC,0,0
STL,5,2,0,12,15,2016-04-05,PIT,6,0
DET,8,3,0,10,23,2016-04-05,MIA,7,0
TOR,2,0,2,9,11,2016-04-05,TB,3,0
SEA,10,5,0,11,26,2016-04-06,TEX,2,0
SF,2,0,1,6,11,2016-04-06,MIL,1,0
COL,6,4,0,8,20,2016-04-06,ARI,11,0
CHC,6,0,0,6,19,2016-04-06,LAA,1,0
CHW,5,0,0,10,17,2016-04-06,OAK,4,0
LAD,3,0,1,11,10,2016-04-06,SD,0,0
TOR,3,1,0,7,9,2016-04-06,TB,5,0
SF,3,7,0,9,12,2016-04-06,MIL,4,0
SEA,9,2,0,11,24,2016-04-06,TEX,5,0
COL,4,1,0,6,17,2016-04-06,ARI,3,0
DET,7,4,0,6,22,2016-04-06,MIA,3,0
BOS,6,6,1,6,21,2016-04-06,CLE,7,0
PHI,2,0,0,9,10,2016-04-06,CIN,3,0
MIN,2,6,0,6,11,2016-04-06,BAL,4,0
HOU,6,7,0,7,24,2016-04-06,NYY,16,0
STL,1,7,0,5,8,2016-04-06,PIT,5,0
WSH,3,3,0,8,10,2016-04-06,ATL,1,0
LAD,7,0,0,7,20,2016-04-07,SD,0,0
CHW,1,3,0,8,7,2016-04-07,OAK,2,0
PHI,6,5,0,9,21,2016-04-07,CIN,10,0
CHW,6,3,1,6,14,2016-04-07,OAK,1,0
HOU,5,1,0,6,17,2016-04-07,NYY,8,0
MIA,6,9,1,10,16,2016-04-07,WSH,4,0
LAD,6,3,0,6,19,2016-04-07,SF,12,0
MIN,2,0,1,7,14,2016-04-07,BAL,4,0
CHC,14,2,1,10,24,2016-04-08,ARI,6,0
TEX,3,4,0,7,7,2016-04-08,LAA,4,0
NYY,0,0,0,9,3,2016-04-08,DET,4,0
PHI,2,4,0,5,9,2016-04-08,NYM,7,0
CLE,7,4,0,9,14,2016-04-08,CHW,1,0
SD,13,6,3,8,29,2016-04-08,COL,6,0
TB,1,2,0,6,9,2016-04-08,BAL,6,0
BOS,8,5,0,10,18,2016-04-08,TOR,7,0
PIT,6,6,1,5,12,2016-04-08,CIN,5,0
STL,7,5,0,9,25,2016-04-08,ATL,4,0
HOU,4,4,1,12,16,2016-04-09,MIL,6,0
MIN,3,4,1,10,13,2016-04-09,KC,4,0
CHC,2,3,0,8,7,2016-04-09,ARI,3,0
TEX,7,5,2,3,15,2016-04-09,LAA,3,0
OAK,3,2,1,6,16,2016-04-09,SEA,2,0
LAD,2,5,1,6,10,2016-04-09,SF,3,0
BOS,8,1,1,10,18,2016-04-09,TOR,4,0
NYY,8,4,1,8,21,2016-04-09,DET,4,0
PIT,1,4,0,6,12,2016-04-09,CIN,5,0
CLE,3,3,0,4,13,2016-04-09,CHW,7,0
LAD,3,2,0,9,16,2016-04-09,SF,2,0
HOU,6,3,2,11,18,2016-04-09,MIL,4,0
STL,12,3,1,7,18,2016-04-09,ATL,2,0
PHI,1,4,0,12,12,2016-04-09,NYM,0,0
MIN,0,5,0,8,8,2016-04-09,KC,7,0
SD,16,3,0,11,33,2016-04-10,COL,3,0
CHC,4,1,0,7,14,2016-04-10,ARI,2,0
TEX,4,3,0,7,18,2016-04-10,LAA,1,0
OAK,6,2,2,12,17,2016-04-10,SEA,1,0
BOS,0,4,0,5,9,2016-04-10,TOR,3,0
PIT,1,2,2,2,13,2016-04-10,CIN,2,0
PHI,5,1,1,9,13,2016-04-10,NYM,2,0
TB,3,0,0,4,12,2016-04-10,BAL,5,0
STL,12,9,2,13,18,2016-04-10,ATL,7,0
MIA,2,5,0,6,14,2016-04-10,WSH,4,0
TB,3,0,0,4,12,2016-04-10,BAL,5,0
HOU,2,7,1,10,9,2016-04-10,MIL,3,0
MIN,3,2,1,8,14,2016-04-10,KC,4,0
TEX,1,5,1,1,11,2016-04-10,LAA,3,0
LAD,6,3,0,4,11,2016-04-10,SF,9,0
OAK,2,5,0,7,12,2016-04-10,SEA,1,0
SD,3,4,1,3,10,2016-04-10,COL,6,0
CHC,7,0,1,9,20,2016-04-10,ARI,3,0
PIT,7,2,0,8,23,2016-04-11,DET,4,0
BAL,9,4,0,8,18,2016-04-11,BOS,7,0
SD,4,1,0,9,11,2016-04-11,PHI,3,0
CHW,4,3,0,7,10,2016-04-11,MIN,1,0
MIL,1,2,0,7,9,2016-04-11,STL,10,0
MIA,10,4,1,8,23,2016-04-11,NYM,3,0
ATL,4,5,0,7,11,2016-04-11,WSH,6,0
CIN,3,7,1,5,11,2016-04-12,CHC,5,0
KC,2,3,0,8,15,2016-04-12,HOU,8,0
LAA,4,2,1,8,14,2016-04-12,OAK,1,0
TEX,7,2,0,9,17,2016-04-12,SEA,3,0
PIT,2,8,0,8,9,2016-04-12,DET,8,0
ARI,4,1,0,4,20,2016-04-12,LAD,2,0
ATL,1,1,0,10,8,2016-04-12,WSH,2,0
SD,0,5,0,7,5,2016-04-12,PHI,3,0
NYY,3,6,1,11,11,2016-04-12,TOR,2,0
BAL,9,1,1,4,22,2016-04-12,BOS,5,0
MIA,2,4,2,11,10,2016-04-12,NYM,1,0
CLE,1,3,0,6,9,2016-04-12,TB,5,0
KC,3,7,1,14,11,2016-04-13,HOU,2,0
SF,7,2,1,6,25,2016-04-13,COL,2,0
LAA,5,1,0,4,16,2016-04-13,OAK,4,0
TEX,8,2,0,7,18,2016-04-13,SEA,0,0
MIA,1,2,0,9,9,2016-04-13,NYM,2,0
LAA,5,3,1,6,14,2016-04-13,OAK,1,0
TEX,2,4,0,9,9,2016-04-13,SEA,4,0
BAL,2,4,0,7,15,2016-04-13,BOS,4,0
ATL,0,2,1,5,5,2016-04-13,WSH,3,0
SD,1,3,1,6,7,2016-04-13,PHI,2,0
DET,7,5,0,10,18,2016-04-13,PIT,3,0
NYY,2,3,0,8,12,2016-04-13,TOR,7,0
CLE,4,1,1,9,10,2016-04-13,TB,1,0
CIN,2,10,1,9,10,2016-04-14,CHC,9,0
CHW,3,5,0,9,14,2016-04-14,MIN,0,0
KC,4,4,0,11,14,2016-04-14,HOU,2,0
MIL,6,2,0,5,15,2016-04-14,STL,4,0
SF,6,4,0,8,12,2016-04-14,COL,10,0
ARI,1,1,0,8,8,2016-04-14,LAD,3,0
DET,7,3,1,4,14,2016-04-14,PIT,4,0
SD,0,5,0,10,3,2016-04-14,PHI,3,0
CHW,3,2,1,6,14,2016-04-14,MIN,1,0
CLE,6,3,5,14,23,2016-04-14,TB,0,0
MIL,0,3,0,9,1,2016-04-14,STL,7,0
SF,6,4,0,9,14,2016-04-14,COL,11,0
ATL,2,1,0,7,6,2016-04-14,WSH,6,0
NYY,2,3,1,10,3,2016-04-14,TOR,4,0
CIN,1,5,0,4,9,2016-04-15,CHC,8,0
BAL,3,2,0,5,16,2016-04-15,TEX,6,0
KC,6,2,0,9,19,2016-04-15,HOU,2,0
ARI,2,5,1,6,8,2016-04-15,LAD,5,0
COL,6,4,3,7,11,2016-04-15,CHC,1,0
SEA,7,7,1,10,18,2016-04-15,NYY,1,0
WSH,9,3,0,6,27,2016-04-15,PHI,1,0
MIL,8,4,3,6,19,2016-04-15,PIT,4,0
TOR,3,6,0,7,9,2016-04-15,BOS,5,0
NYM,6,3,0,9,29,2016-04-15,CLE,5,0
ATL,6,5,1,4,9,2016-04-15,MIA,3,0
CHW,1,0,0,9,8,2016-04-15,TB,0,0
BAL,11,2,0,11,30,2016-04-16,TEX,5,0
LAA,4,3,0,7,17,2016-04-16,MIN,5,0
DET,0,6,0,6,5,2016-04-16,HOU,1,0
CIN,3,4,0,5,11,2016-04-16,STL,14,0
KC,4,5,1,4,16,2016-04-16,OAK,2,0
SF,3,2,0,11,5,2016-04-16,LAD,7,0
ARI,3,3,1,7,13,2016-04-16,SD,2,0
SEA,3,6,1,7,16,2016-04-16,NYY,2,0
LAA,4,2,1,4,10,2016-04-16,MIN,6,0
CIN,9,6,0,5,27,2016-04-16,STL,8,0
COL,2,5,1,10,12,2016-04-16,CHC,6,0
TOR,2,2,0,3,11,2016-04-16,BOS,4,0
KC,3,4,1,3,9,2016-04-16,OAK,5,0
NYM,5,3,0,5,20,2016-04-16,CLE,7,0
CHW,2,5,0,5,11,2016-04-16,TB,7,0
WSH,8,1,0,10,18,2016-04-16,PHI,1,0
MIL,0,6,0,8,4,2016-04-16,PIT,5,0
DET,5,2,1,10,24,2016-04-16,HOU,3,0
ATL,6,5,0,12,14,2016-04-16,MIA,4,0
BAL,4,4,0,4,20,2016-04-17,TEX,8,0
ARI,3,5,0,14,15,2016-04-17,SD,5,0
SF,4,3,1,8,9,2016-04-17,LAD,3,0
SEA,3,2,0,4,8,2016-04-17,NYY,4,0
NYM,6,2,0,15,14,2016-04-17,CLE,0,0
ATL,6,2,1,8,9,2016-04-17,MIA,5,0
CHW,2,0,0,9,6,2016-04-17,TB,3,0
TOR,5,4,0,10,19,2016-04-17,BOS,3,0
WSH,2,2,0,9,13,2016-04-17,PHI,3,0
MIL,3,7,0,2,6,2016-04-17,PIT,9,0
LAA,2,5,0,6,9,2016-04-17,MIN,3,0
DET,4,2,0,10,17,2016-04-17,HOU,5,0
CIN,3,3,0,3,11,2016-04-17,STL,4,0
COL,2,1,1,9,11,2016-04-17,CHC,0,0
KC,2,4,1,4,10,2016-04-17,OAK,3,0
ARI,7,3,1,10,26,2016-04-17,SD,3,0
SF,1,3,0,3,8,2016-04-18,LAD,3,0
TOR,4,1,0,6,8,2016-04-18,BOS,3,0
NYM,5,3,0,13,26,2016-04-18,PHI,2,0
COL,5,1,0,7,14,2016-04-18,CIN,1,0
WSH,1,3,0,4,7,2016-04-18,MIA,6,0
CHC,5,2,0,14,14,2016-04-19,STL,0,0
LAA,7,3,0,10,14,2016-04-19,CHW,0,0
MIL,4,1,0,5,9,2016-04-19,MIN,7,0
ARI,9,7,1,10,26,2016-04-19,SF,7,0
MIL,6,6,0,5,13,2016-04-19,MIN,5,0
SEA,2,5,1,4,12,2016-04-19,CLE,3,0
TOR,4,2,1,4,11,2016-04-19,BAL,3,0
OAK,3,3,0,7,16,2016-04-19,NYY,2,0
NYM,11,2,0,7,33,2016-04-19,PHI,1,0
TB,3,2,1,14,12,2016-04-19,BOS,0,0
LAD,1,3,0,4,5,2016-04-19,ATL,8,0
COL,3,1,0,5,10,2016-04-19,CIN,4,0
WSH,7,2,0,11,25,2016-04-19,MIA,0,0
DET,6,4,0,5,14,2016-04-19,KC,8,0
HOU,5,3,2,2,19,2016-04-20,TEX,7,0
LAA,0,2,0,5,4,2016-04-20,CHW,5,0
CHC,2,3,0,11,6,2016-04-20,STL,1,0
PIT,4,10,3,9,13,2016-04-20,SD,5,0
ARI,3,4,0,10,12,2016-04-20,SF,0,0
COL,5,0,0,8,12,2016-04-20,CIN,6,0
CHC,3,3,0,7,8,2016-04-20,STL,5,0
LAA,1,4,0,7,4,2016-04-20,CHW,2,0
SEA,2,1,0,9,5,2016-04-20,CLE,1,0
DET,3,3,0,10,11,2016-04-20,KC,2,0
TOR,3,4,1,7,14,2016-04-20,BAL,4,0
OAK,5,3,0,9,15,2016-04-20,NYY,2,0
NYM,4,3,0,10,25,2016-04-20,PHI,5,0
TB,3,3,1,9,14,2016-04-20,BOS,7,0
LAD,5,3,2,7,15,2016-04-20,ATL,3,0
WSH,3,1,0,6,12,2016-04-20,MIA,1,0
HOU,1,3,2,5,11,2016-04-21,TEX,2,0
MIN,5,6,0,10,21,2016-04-21,MIL,10,0
PIT,2,4,0,6,10,2016-04-21,SD,8,0
ARI,2,1,0,11,11,2016-04-21,SF,1,0
SEA,10,6,0,10,23,2016-04-21,CLE,7,0
LAD,2,1,1,11,11,2016-04-21,ATL,1,0
WSH,1,3,0,5,5,2016-04-21,MIA,5,0
TB,12,5,0,8,26,2016-04-21,BOS,8,0
MIN,8,1,1,9,20,2016-04-21,MIL,1,0
LAA,3,4,1,5,10,2016-04-21,CHW,2,0
ARI,6,6,4,2,17,2016-04-21,SF,2,0
TOR,2,6,0,12,7,2016-04-21,BAL,3,0
OAK,7,5,3,14,23,2016-04-21,NYY,3,0
CHC,16,4,0,6,36,2016-04-21,CIN,0,0
DET,0,5,0,3,6,2016-04-21,KC,4,0
HOU,4,1,0,8,16,2016-04-22,TEX,7,0
PIT,11,0,2,10,15,2016-04-22,SD,1,0
PIT,11,0,2,10,15,2016-04-22,SD,1,0
TB,3,3,1,6,12,2016-04-22,NYY,6,0
MIN,4,5,0,4,11,2016-04-22,WSH,8,0
OAK,8,5,0,7,19,2016-04-22,TOR,5,0
CLE,2,1,0,7,13,2016-04-22,DET,1,0
CHC,8,1,2,5,18,2016-04-22,CIN,1,0
NYM,6,2,0,12,18,2016-04-22,ATL,3,0
TEX,0,4,0,4,6,2016-04-23,CHW,5,0
PHI,5,3,1,9,19,2016-04-23,MIL,2,0
BOS,6,7,0,10,22,2016-04-23,HOU,2,0
BAL,2,1,1,2,9,2016-04-23,KC,4,0
LAD,5,3,1,5,16,2016-04-23,COL,7,0
PIT,8,2,0,4,26,2016-04-23,ARI,7,0
SEA,5,1,1,5,14,2016-04-23,LAA,2,0
MIA,1,7,0,3,11,2016-04-23,SF,8,0
STL,1,2,0,2,10,2016-04-23,SD,4,0
TB,2,3,0,9,11,2016-04-23,NYY,3,0
MIN,0,2,0,4,3,2016-04-23,WSH,2,0
OAK,3,2,0,9,10,2016-04-23,TOR,9,0
CLE,10,0,2,12,24,2016-04-23,DET,1,0
TEX,3,7,3,7,12,2016-04-23,CHW,4,0
BOS,3,5,0,8,11,2016-04-23,HOU,8,0
PHI,10,4,2,12,20,2016-04-23,MIL,6,0
NYM,8,0,1,10,26,2016-04-23,ATL,2,0
CHC,5,4,2,9,12,2016-04-23,CIN,13,0
BAL,8,1,0,6,19,2016-04-23,KC,3,0
LAD,4,1,0,11,15,2016-04-24,COL,1,0
PIT,1,5,0,7,8,2016-04-24,ARI,7,0
STL,11,4,0,4,28,2016-04-24,SD,2,0
SEA,2,3,0,6,11,2016-04-24,LAA,4,0
MIA,2,4,0,6,11,2016-04-24,SF,7,0
TB,8,1,1,8,30,2016-04-24,NYY,1,0
OAK,3,5,1,6,14,2016-04-24,TOR,6,0
CLE,6,4,0,11,14,2016-04-24,DET,3,0
CHC,9,2,1,12,28,2016-04-24,CIN,0,0
NYM,3,0,0,5,8,2016-04-24,ATL,2,0
MIN,5,4,1,12,15,2016-04-24,WSH,6,0
TEX,1,5,2,4,11,2016-04-24,CHW,4,0
PHI,5,0,0,10,14,2016-04-24,MIL,8,0
BAL,1,2,0,4,4,2016-04-24,KC,6,0
SEA,9,2,1,5,18,2016-04-24,LAA,4,0
MIA,5,6,2,7,21,2016-04-24,SF,4,0
LAD,12,9,0,9,20,2016-04-24,COL,10,0
PIT,12,8,0,17,29,2016-04-24,ARI,10,0
STL,8,3,2,10,25,2016-04-24,SD,5,0
BOS,7,5,2,15,21,2016-04-25,HOU,5,0
CHW,7,3,1,9,15,2016-04-25,TOR,5,0
OAK,3,1,0,7,13,2016-04-25,DET,7,0
BOS,1,3,1,10,11,2016-04-25,ATL,0,0
CIN,3,3,5,10,8,2016-04-25,NYM,5,0
BAL,0,4,0,9,7,2016-04-25,TB,2,0
NYY,3,2,0,7,17,2016-04-26,TEX,1,0
CLE,3,4,1,5,17,2016-04-26,MIN,4,0
PIT,6,3,1,9,13,2016-04-26,COL,1,0
STL,7,6,0,4,23,2016-04-26,ARI,12,0
KC,1,5,0,3,5,2016-04-26,LAA,6,0
HOU,2,7,1,4,13,2016-04-26,SEA,3,0
MIA,3,2,0,8,14,2016-04-26,LAD,2,0
SD,4,4,2,9,15,2016-04-26,SF,5,0
PHI,4,5,0,9,15,2016-04-26,WSH,3,0
CHW,10,2,0,9,27,2016-04-26,TOR,1,0
OAK,5,0,1,11,14,2016-04-26,DET,1,0
BOS,11,3,3,14,25,2016-04-26,ATL,4,0
CIN,3,3,0,8,16,2016-04-26,NYM,4,0
BAL,1,4,0,8,11,2016-04-26,TB,3,0
NYY,1,2,0,3,6,2016-04-27,TEX,10,0
MIL,3,6,0,9,6,2016-04-27,CHC,4,0
CLE,5,3,0,6,17,2016-04-27,MIN,6,0
PIT,9,6,1,4,29,2016-04-27,COL,4,0
STL,8,1,0,6,19,2016-04-27,ARI,2,0
KC,4,5,0,4,18,2016-04-27,LAA,9,0
HOU,1,2,0,8,3,2016-04-27,SEA,11,0
MIA,6,5,0,7,18,2016-04-27,LAD,3,0
SD,0,4,0,4,9,2016-04-27,SF,1,0
SD,9,7,0,3,21,2016-04-27,SF,13,0
PHI,3,3,0,9,10,2016-04-27,WSH,0,0
CHW,4,3,1,13,12,2016-04-27,TOR,0,0
ATL,4,6,0,6,11,2016-04-27,BOS,9,0
OAK,4,7,0,10,15,2016-04-27,DET,9,0
CIN,2,6,0,3,10,2016-04-27,NYM,5,0
BAL,3,3,0,10,6,2016-04-27,TB,1,0
NYY,2,3,0,6,11,2016-04-28,TEX,3,0
CLE,6,3,2,7,13,2016-04-28,MIN,5,0
PIT,9,4,1,11,23,2016-04-28,COL,8,0
STL,11,2,1,10,21,2016-04-28,ARI,4,0
KC,2,2,2,9,14,2016-04-28,LAA,4,0
HOU,7,3,0,9,16,2016-04-28,SEA,4,0
MIA,2,5,0,4,8,2016-04-28,LAD,0,0
OAK,3,5,3,8,11,2016-04-28,DET,7,0
MIL,2,11,5,5,8,2016-04-28,CHC,7,0
PHI,3,3,1,9,8,2016-04-28,WSH,0,0
CHW,2,4,2,8,14,2016-04-28,BAL,10,0
ATL,5,3,1,9,15,2016-04-28,BOS,3,0
STL,0,3,0,9,4,2016-04-29,ARI,3,0
MIA,5,4,0,12,16,2016-04-29,LAD,3,0
ATL,1,7,0,3,10,2016-04-29,CHC,6,0
CHW,3,3,0,7,12,2016-04-29,BAL,6,0
CLE,3,2,0,8,12,2016-04-29,PHI,4,0
CIN,1,4,0,6,9,2016-04-29,PIT,4,0
NYY,2,0,0,6,11,2016-04-29,BOS,4,0
SF,1,6,0,7,13,2016-04-29,NYM,13,0
TOR,6,2,0,9,19,2016-04-29,TB,1,0
LAA,2,3,0,1,14,2016-04-30,TEX,4,0
MIA,6,6,1,9,19,2016-04-30,MIL,3,0
DET,9,2,1,9,29,2016-04-30,MIN,2,0
WSH,5,2,1,10,13,2016-04-30,STL,4,0
COL,9,4,0,7,28,2016-04-30,ARI,0,0
HOU,4,1,1,5,12,2016-04-30,OAK,7,0
KC,0,7,4,5,6,2016-04-30,SEA,1,0
SD,5,4,0,11,14,2016-04-30,LAD,1,0
DET,4,1,1,10,12,2016-04-30,MIN,1,0
WSH,6,2,0,10,9,2016-04-30,STL,1,0
HOU,0,3,0,7,5,2016-04-30,OAK,2,0
SF,5,2,0,5,7,2016-04-30,NYM,6,0
TOR,3,3,0,8,10,2016-04-30,TB,4,0
CHW,8,3,1,6,17,2016-04-30,BAL,7,0
CLE,3,3,3,6,12,2016-04-30,PHI,4,0
CIN,1,5,0,7,7,2016-04-30,PIT,5,0
NYY,0,6,0,9,5,2016-04-30,BOS,8,0
MIA,7,2,0,6,28,2016-04-30,MIL,5,0
LAA,2,1,0,7,18,2016-05-01,TEX,7,0
COL,5,3,0,6,18,2016-05-01,ARI,2,0
SD,5,5,2,5,14,2016-05-01,LAD,2,0
KC,0,8,0,6,6,2016-05-01,SEA,6,0
SF,6,4,4,9,14,2016-05-01,NYM,1,0
TOR,5,2,0,11,12,2016-05-01,TB,1,0
CHW,7,6,0,11,19,2016-05-01,BAL,1,0
CIN,6,5,2,12,15,2016-05-01,PIT,5,0
MIA,5,3,0,5,23,2016-05-01,MIL,14,0
DET,6,3,2,5,21,2016-05-01,MIN,5,0
WSH,6,0,0,12,22,2016-05-01,STL,1,0
ATL,4,3,1,12,7,2016-05-01,CHC,3,0
CLE,1,2,0,8,7,2016-05-01,PHI,2,0
LAA,9,2,1,8,19,2016-05-01,TEX,6,0
HOU,2,1,1,6,5,2016-05-01,OAK,1,0
KC,4,3,2,10,15,2016-05-01,SEA,1,0
SD,0,2,0,7,3,2016-05-01,LAD,1,0
COL,6,2,1,8,13,2016-05-01,ARI,3,0
NYY,7,3,0,4,16,2016-05-02,BOS,8,0
CHC,7,3,3,9,15,2016-05-02,PIT,2,0
TEX,2,4,0,10,14,2016-05-02,TOR,1,0
SF,9,2,1,11,20,2016-05-02,CIN,6,0
ATL,1,5,0,5,12,2016-05-02,NYM,4,0
LAA,5,4,1,9,16,2016-05-02,MIL,8,0
MIN,6,6,0,11,14,2016-05-03,HOU,2,0
WSH,2,2,1,5,12,2016-05-03,KC,0,0
PHI,3,4,0,7,10,2016-05-03,STL,10,0
SEA,4,2,1,10,15,2016-05-03,OAK,3,0
COL,1,3,1,12,10,2016-05-03,SD,2,0
DET,3,4,0,5,15,2016-05-03,CLE,7,0
NYY,1,2,0,6,8,2016-05-03,BAL,4,0
CHC,7,3,0,7,15,2016-05-03,PIT,1,0
TEX,1,6,1,11,11,2016-05-03,TOR,3,0
SF,3,2,4,9,15,2016-05-03,CIN,1,0
ATL,3,2,3,5,15,2016-05-03,NYM,0,0
ARI,4,5,0,7,12,2016-05-03,MIA,7,0
LAD,10,3,0,10,24,2016-05-03,TB,5,0
BOS,1,7,0,8,7,2016-05-04,CHW,4,0
LAA,4,5,0,9,10,2016-05-04,MIL,5,0
MIN,4,4,1,7,13,2016-05-04,HOU,6,0
WSH,6,2,0,5,26,2016-05-04,KC,7,0
PHI,1,1,0,11,11,2016-05-04,STL,0,0
SEA,8,2,0,4,24,2016-05-04,OAK,2,0
COL,3,1,1,5,8,2016-05-04,SD,6,0
SF,4,1,0,8,17,2016-05-04,CIN,7,0
CHC,6,2,0,8,21,2016-05-04,PIT,2,0
ATL,0,5,0,9,3,2016-05-04,NYM,8,0
LAA,7,4,1,7,19,2016-05-04,MIL,3,0
WSH,13,2,0,11,25,2016-05-04,KC,2,0
SEA,9,1,1,3,28,2016-05-04,OAK,8,0
COL,2,1,0,7,9,2016-05-04,SD,0,0
DET,0,3,0,7,6,2016-05-04,CLE,4,0
NYY,7,4,2,10,13,2016-05-04,BAL,0,0
TEX,3,3,0,8,9,2016-05-04,TOR,4,0
ARI,3,2,0,5,14,2016-05-04,MIA,4,0
LAD,5,2,0,10,11,2016-05-04,TB,8,0
BOS,5,3,0,7,15,2016-05-05,CHW,2,0
MIN,4,7,1,8,14,2016-05-05,HOU,16,0
PHI,4,5,0,2,12,2016-05-05,STL,5,0
PHI,0,4,0,4,7,2016-05-05,STL,4,0
DET,4,3,0,7,10,2016-05-05,CLE,9,0
NYY,0,2,1,8,5,2016-05-05,BAL,1,0
TEX,2,6,0,0,10,2016-05-05,TOR,12,0
MIL,5,3,0,10,18,2016-05-05,CIN,9,0
ARI,0,2,0,7,5,2016-05-05,MIA,4,0
WSH,2,2,0,11,7,2016-05-06,CHC,5,0
BOS,7,9,0,8,25,2016-05-06,CHW,3,0
SEA,6,4,2,7,15,2016-05-06,HOU,3,0
NYM,3,2,0,7,10,2016-05-06,SD,5,0
COL,17,2,0,7,29,2016-05-06,SF,7,0
WSH,6,5,0,8,17,2016-05-06,CHC,8,0
BOS,2,3,2,5,18,2016-05-06,NYY,3,0
LAD,2,6,0,7,12,2016-05-06,TOR,5,0
KC,1,7,0,5,9,2016-05-06,CLE,7,0
TEX,5,2,0,11,17,2016-05-06,DET,1,0
MIL,1,3,0,8,11,2016-05-06,CIN,5,0
PHI,4,2,1,6,17,2016-05-06,MIA,6,0
ARI,7,1,1,11,15,2016-05-06,ATL,2,0
MIN,4,3,1,8,11,2016-05-07,CHW,10,0
SEA,3,5,1,5,8,2016-05-07,HOU,6,0
PIT,4,2,2,12,14,2016-05-07,STL,2,0
TB,5,4,0,9,19,2016-05-07,LAA,2,0
COL,4,3,0,4,9,2016-05-07,SF,6,0
NYM,0,2,0,8,4,2016-05-07,SD,2,0
BOS,2,4,0,7,9,2016-05-07,NYY,8,0
OAK,8,4,0,8,20,2016-05-07,BAL,4,0
LAD,6,0,0,12,13,2016-05-07,TOR,2,0
TEX,10,8,1,9,28,2016-05-07,DET,5,0
PIT,4,4,0,2,14,2016-05-07,STL,6,0
WSH,5,7,1,6,10,2016-05-07,CHC,8,0
COL,1,5,0,8,16,2016-05-07,SF,2,0
KC,7,2,1,7,17,2016-05-07,CLE,0,0
OAK,2,4,0,6,10,2016-05-07,BAL,5,0
MIN,2,6,0,6,6,2016-05-07,CHW,7,0
ARI,4,3,1,2,14,2016-05-07,ATL,2,0
MIL,13,1,0,10,32,2016-05-07,CIN,7,0
SEA,3,2,0,14,22,2016-05-07,HOU,2,0
PHI,4,1,0,7,7,2016-05-07,MIA,3,0
NYM,6,1,1,9,25,2016-05-08,SD,3,0
TB,4,2,2,6,11,2016-05-08,LAA,2,0
LAD,4,1,0,9,13,2016-05-08,TOR,2,0
KC,4,4,0,8,16,2016-05-08,CLE,5,0
TEX,8,5,1,8,19,2016-05-08,DET,3,0
MIL,5,3,0,8,18,2016-05-08,CIN,4,0
PHI,6,2,1,8,15,2016-05-08,MIA,5,0
TEX,8,5,1,8,19,2016-05-08,DET,3,0
OAK,3,5,0,8,8,2016-05-08,BAL,11,0
ARI,5,5,1,8,18,2016-05-08,ATL,3,0
MIN,1,2,0,9,8,2016-05-08,CHW,3,0
SEA,1,3,0,11,8,2016-05-08,HOU,5,0
PIT,10,5,0,10,24,2016-05-08,STL,5,0
WSH,3,3,0,10,14,2016-05-08,CHC,4,0
TB,3,3,0,5,14,2016-05-08,LAA,1,0
COL,2,4,0,9,13,2016-05-08,SF,0,0
NYM,4,2,0,13,16,2016-05-08,SD,3,0
BOS,5,1,1,7,20,2016-05-09,NYY,1,0
DET,4,4,0,4,14,2016-05-09,WSH,5,0
KC,3,1,1,5,17,2016-05-09,NYY,6,0
OAK,7,5,0,9,18,2016-05-09,BOS,14,0
PIT,2,2,1,4,6,2016-05-09,CIN,3,0
MIL,1,5,1,6,7,2016-05-09,MIA,4,0
CHW,8,5,0,10,25,2016-05-10,TEX,4,0
CLE,1,5,0,9,5,2016-05-10,HOU,7,0
ARI,10,3,0,8,25,2016-05-10,COL,5,0
TB,2,6,1,8,11,2016-05-10,SEA,5,0
NYM,4,2,1,8,16,2016-05-10,LAD,2,0
TOR,3,5,0,7,10,2016-05-10,SF,1,0
KC,7,4,0,6,22,2016-05-10,NYY,10,0
DET,5,5,0,10,13,2016-05-10,WSH,4,0
OAK,5,4,0,4,18,2016-05-10,BOS,13,0
PHI,3,2,0,4,14,2016-05-10,ATL,2,0
MIL,10,3,4,4,14,2016-05-10,MIA,2,0
CHW,11,4,0,9,18,2016-05-11,TEX,13,0
SD,7,5,0,5,16,2016-05-11,CHC,8,0
BAL,5,2,0,12,24,2016-05-11,MIN,3,0
CLE,4,4,0,9,12,2016-05-11,HOU,0,0
ARI,5,1,0,6,20,2016-05-11,COL,1,0
